Name,Type,Subtype,Color,Brand,Counter,Photo
Navy Sweats,Bottom,Sweatpants,Navy,Garage,1,clothing_photos/navy_sweats.jpg
White and Blue Angel Top,Top,Tee,"White, Light Blue",Brandy Melville,1,clothing_photos/brandytop.jpg
Moccasins,Shoes,Slippers,Tan,Minnetonka,1,clothing_photos/slippers.jpg
Roxy Sneakers,Shoes,Sneakers,White,Roxy,1,clothing_photos/roxysneakers.jpg
Brooklyn 28,Bag,Purse,Brown,Coach,1,clothing_photos/brooklyn28.jpg
Trouser Jeans,Bottom,Jeans,Dark Denim,JCrew,1,clothing_photos/trouserjeans.jpg
White Scoop Sweater,Top,Sweater,White,Aritzia,1,clothing_photos/whitescoopsweater.jpg
Pearl Hoops,Jewelry,Earrings,Gold,Unknown,2,clothing_photos/pearlhoops.jpg
Small Gold Necklace,Jewelry,Necklace,Gold,Unknown,1,clothing_photos/smallgoldnecklace.jpg
Pink Glossier Hoodie,Top,Sweatshirt,Pink,Glossier,0,clothing_photos/pinkglossierhoodie.jpg
Navy Rosa Sweatpants,Bottom,Sweatpants,Navy,Brandy Melville,0,clothing_photos/navyrosasweatpants.jpg
Navy Souvenir Pant,Bottom,Sweatpants,Navy,Aritzia,1,clothing_photos/navy_souvenir_pant.jpg
Navy Cropped Cashmere Sweater,Top,Sweater,Navy,JCrew,1,clothing_photos/navy_cashmere_cropped_sweater.jpg
White Tuckable High Neck Tank,Top,Tank,White,Abercrombie,1,clothing_photos/white_tuckable_high_neck_tank.jpg
Gold Pearl Necklace,Jewelry,Necklace,Gold,Unknown,1,clothing_photos/gold_pearl_necklace.jpg
