Date,Photo,Items,OOTW
01/01/2025,outfit_photos/01.01.2025.jpg,"Navy Sweats, White and Blue Angel Top, Moccasins",0
01/02/2025,outfit_photos/01.02.2025.jpg,"Roxy Sneakers, Brooklyn 28, trouserjeans, White Scoop Sweater, Pearl Hoops, Small Gold Necklace",0
01/13/2025,outfit_photos/01.13.2025.jpg,"Pearl Hoops, Navy Souvenir Pant, Navy Cropped Cashmere Sweater, White Tuckable High Neck Tank, Gold Pearl Necklace",0
01/06/2025,outfit_photos/01.06.2025.jpg,"Moccasins, Navy Rosa Sweatpants, Light Blue Crewneck Sweatshirt",0
01/07/2025,outfit_photos/01.07.2025.jpg,"Moccasins, Navy Rosa Sweatpants, Light Blue Crewneck Sweatshirt",0
01/04/2025,outfit_photos/01.04.2025.jpg,"Moccasins, Pink Glossier Hoodie, Navy Rosa Sweatpants",0
01/03/2025,outfit_photos/01.03.2025.jpg,"Moccasins, Pink Glossier Hoodie, Navy Rosa Sweatpants",0
01/05/2025,outfit_photos/01.05.2025.jpg,"Navy Sweats, Roxy Sneakers, White Crystal Sweatshirt",0
01/15/2025,outfit_photos/01.15.2025.jpg,"Navy Souvenir Pant, White High Top Converse, White Bomber Jacket",0
01/25/2025,outfit_photos/01.25.2025.jpg,"Pearl Hoops, Navy Souvenir Pant, White High Top Converse, Polo Bear Sweater, Pearl Necklace",0
02/01/2025,outfit_photos/02.01.2025.jpg,"Navy Sweats, Pearl Hoops, White High Top Converse, White Mock Neck",0
